"","PlayerID","Season","Played","Started","Week","Opponent","TeamHasPossession","TeamIsHome","Result","HomeScore","AwayScore","Quarter","QuarterDisplay","IsGameOver","GameDate","ScoreSummary","PassingCompletions","PassingAttempts","PassingCompletionPercentage","PassingYards","PassingYardsPerAttempt","PassingTouchdowns","PassingInterceptions","PassingRating","RushingAttempts","RushingYards","RushingYardsPerAttempt","RushingTouchdowns","Receptions","ReceivingTargets","ReceivingYards","ReceptionPercentage","ReceivingTouchdowns","ReceivingLong","ReceivingYardsPerTarget","ReceivingYardsPerReception","Fumbles","FumblesLost","FieldGoalsMade","FieldGoalsAttempted","FieldGoalPercentage","FieldGoalsLongestMade","ExtraPointsMade","ExtraPointsAttempted","TacklesForLoss","Sacks","QuarterbackHits","Interceptions","FumblesRecovered","Safeties","DefensiveTouchdowns","SpecialTeamsTouchdowns","SoloTackles","AssistedTackles","SackYards","PassesDefended","FumblesForced","FantasyPoints","FantasyPointsPPR","FantasyPointsFanDuel","FantasyPointsYahoo","FantasyPointsFantasyDraft","FantasyPointsDraftKings","FantasyPointsHalfPointPpr","FantasyPointsSixPointPassTd","FantasyPointsPerGame","FantasyPointsPerGamePPR","FantasyPointsPerGameFanDuel","FantasyPointsPerGameYahoo","FantasyPointsPerGameDraftKings","FantasyPointsPerGameHalfPointPPR","FantasyPointsPerGameSixPointPassTd","FantasyPointsPerGameFantasyDraft","PlayerUrlString","GameStatus","GameStatusClass","TotalTackles","Name","ShortName","FirstName","LastName","FantasyPosition","Position","TeamUrlString","Team","IsScrambled","Rank","StaticRank","IsFavorite","PointsAllowedByDefenseSpecialTeams"
"1863",16191,2017,1,0,13,"CIN",FALSE,FALSE,"W",20,23,"F","F",TRUE,"/Date(1512437400000)/","F (W) 20 - 23 @ CIN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,100,38,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,11,0,0,11,11,11,11,11,11,0,11,11,11,0,"/nfl/chris-boswell-fantasy/16191","","",0,"Chris Boswell","C. Boswell","Chris","Boswell","K","K","/nfl/team-details/PIT","PIT",FALSE,1798,0,FALSE,NA
"1864",18052,2017,1,1,13,"TB",FALSE,TRUE,"W",26,20,"F/OT","F/OT",TRUE,"/Date(1512324000000)/","F/OT (W) 26 - 20 vs. TB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,6,0,1,0,11,11,0,0,0,0,11,11,11,11,0,0,0,11,11,0,"/nfl/blake-martinez-fantasy/18052","","",12,"Blake Martinez","B. Martinez","Blake","Martinez","LB","ILB","/nfl/team-details/GB","GB",FALSE,1798,0,FALSE,NA
"1865",38,2017,1,1,13,"SF",FALSE,TRUE,"L",14,15,"F","F",TRUE,"/Date(1512324000000)/","F (L) 14 - 15 vs. SF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,5,1,0,0,0,1,57,13,15,2,0,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,"/nfl/team-details/CHI","","",70,"Chicago Bears","Bears","Chicago","Bears","DST","DST","/nfl/team-details/CHI","CHI",FALSE,1798,0,FALSE,15
"1866",84,2017,1,1,13,"CLE",FALSE,TRUE,"W",19,10,"F","F",TRUE,"/Date(1512335100000)/","F (W) 19 - 10 vs. CLE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,6,1,1,0,0,0,42,8,13,7,1,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,"/nfl/team-details/LAC","","",50,"Los Angeles Chargers","Chargers","Los Angeles","Chargers","DST","DST","/nfl/team-details/LAC","LAC",FALSE,1798,0,FALSE,10
"1867",549,2017,1,0,11,"CHI",FALSE,FALSE,"W",24,27,"F","F",TRUE,"/Date(1511114400000)/","F (W) 24 - 27 @ CHI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,100,52,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,11,0,0,11,11,11,11,11,11,0,11,11,11,0,"/nfl/matt-prater-fantasy/549","","",0,"Matt Prater","M. Prater","Matt","Prater","K","K","/nfl/team-details/DET","DET",FALSE,1798,0,FALSE,NA
"1868",11514,2017,1,1,11,"MIA",FALSE,FALSE,"W",20,30,"F","F",TRUE,"/Date(1511114400000)/","F (W) 20 - 30 @ MIA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0,0,0,3,4,0,0,0,11,11,0,0,0,0,11,11,11,11,0,0,0,11,11,0,"/nfl/gerald-mccoy-fantasy/11514","","",7,"Gerald McCoy","G. McCoy","Gerald","McCoy","DL","DE","/nfl/team-details/TB","TB",FALSE,1798,0,FALSE,NA
"1869",12845,2017,1,1,11,"DEN",FALSE,FALSE,"W",17,20,"F","F",TRUE,"/Date(1511126700000)/","F (W) 17 - 20 @ DEN",0,0,0,0,0,0,0,0,0,0,0,0,4,9,50,44.4,1,18,5.6,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,15,13,13,15,15,13,11,11,15,13,13,15,13,11,15,"/nfl/aj-green-fantasy/12845","O","gamestatus_red",0,"AJ Green","A. Green","AJ","Green","WR","WR","/nfl/team-details/CIN","CIN",FALSE,1798,0,FALSE,NA
"1870",13355,2017,1,0,11,"SEA",FALSE,FALSE,"W",31,34,"F","F",TRUE,"/Date(1511227800000)/","F (W) 31 - 34 @ SEA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,11,11,0,0,0,0,11,11,11,11,0,0,0,11,11,0,"/nfl/adrian-clayborn-fantasy/13355","","",1,"Adrian Clayborn","A. Clayborn","Adrian","Clayborn","DL","DE","/nfl/team-details/ATL","ATL",FALSE,1798,0,FALSE,NA
"1871",14128,2017,1,1,11,"BUF",FALSE,TRUE,"W",54,24,"F","F",TRUE,"/Date(1511125500000)/","F (W) 54 - 24 vs. BUF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,11,11,0,0,0,0,11,11,11,11,0,0,0,11,11,0,"/nfl/melvin-ingram-fantasy/14128","Q","gamestatus_yellow",1,"Melvin Ingram","M. Ingram","Melvin","Ingram","DL","DE","/nfl/team-details/LAC","LAC",FALSE,1798,0,FALSE,NA
"1872",14463,2017,1,0,11,"ATL",FALSE,TRUE,"L",31,34,"F","F",TRUE,"/Date(1511227800000)/","F (L) 31 - 34 vs. ATL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,75,46,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,12,0,0,12,11,11,11,11,12,0,12,11,11,0,"/nfl/blair-walsh-fantasy/14463","","",0,"Blair Walsh","B. Walsh","Blair","Walsh","K","K","/nfl/team-details/SEA","SEA",FALSE,1798,0,FALSE,NA
